id,name
agri.active_ingredient_1_3_dichloropropene,"1,3-dichloropropene"
agri.active_ingredient_1_naphthaleneacetamide,1-naphthaleneacetamide [syn. NAD]
agri.active_ingredient_1_naphthaleneacetamide,"1-naphthaleneacetamide [syn. NAD],2-(1-naphthyl)acetamide]"
agri.active_ingredient_2_4_d,"2,4-D"
agri.active_ingredient_2_4_d__dicamba,"2,4-D + dicamba"
agri.active_ingredient_2_4_db,"2,4-DB"
agri.active_ingredient_2__1_naphthyl_acetamide,2-(1-naphthyl)acetamide
agri.active_ingredient_6_benzyladenine,6-benzyladenine [syn. 6-benzylaminopurine]
agri.active_ingredient_6_benzyladenine__gibberellic_acid,6-benzyladenine [syn. 6-benzylaminopurine] + gibberellic acid [syn. gibberellins]
agri.active_ingredient_abamectin,abamectin [syn. avermectin]
agri.active_ingredient_acephate,acephate
agri.active_ingredient_acetamiprid,acetamiprid
agri.active_ingredient_acetochlor,acetochlor
agri.active_ingredient_acetochlor__atrazine__benoxacor__terbuthylazine,acetochlor + atrazine + benoxacor + terbuthylazine
agri.active_ingredient_acetochlor__atrazine__terbuthylazine,acetochlor + atrazine + terbuthylazine
agri.active_ingredient_acetochlor__benoxacor,acetochlor + benoxacor
agri.active_ingredient_acetochlor__dichlormid,acetochlor + dichlormid
agri.active_ingredient_alachlor,alachlor
agri.active_ingredient_alkali__organic_acid,alkali + organic acid
agri.active_ingredient_alkali__organic_acid__wetting_agents,alkali + organic acid + wetting agents
agri.active_ingredient_alpha_cypermethrin,alpha-cypermethrin
agri.active_ingredient_ametryn,ametryn
agri.active_ingredient_amicarbazone,amicarbazone
agri.active_ingredient_atrazine,atrazine
agri.active_ingredient_atrazine__benoxacor__metolachlor__terbuthylazine,atrazine + benoxacor + metolachlor + terbuthylazine
agri.active_ingredient_atrazine__metazachlor__terbuthylazine,atrazine + metazachlor + terbuthylazine
agri.active_ingredient_atrazine__sulcotrione,atrazine + sulcotrione
agri.active_ingredient_atrazine__terbuthylazine,atrazine + terbuthylazine
agri.active_ingredient_atrazine__terbuthylazine__triazines,atrazine + terbuthylazine + triazines
agri.active_ingredient_atrazine__triazines,atrazine + triazines
agri.active_ingredient_azoxystrobin,azoxystrobin
agri.active_ingredient_azoxystrobin__chlorothalonil,azoxystrobin + chlorothalonil
agri.active_ingredient_azoxystrobin__cymoxanil,azoxystrobin + cymoxanil
agri.active_ingredient_azoxystrobin__cyproconazole,azoxystrobin + cyproconazole
agri.active_ingredient_azoxystrobin__difenoconazole,azoxystrobin + difenoconazole
agri.active_ingredient_azoxystrobin__epoxiconazole,azoxystrobin + epoxiconazole
agri.active_ingredient_azoxystrobin__flusilazole,azoxystrobin + flusilazole
agri.active_ingredient_azoxystrobin__kresoxim_methyl,azoxystrobin + kresoxim-methyl
agri.active_ingredient_bacillus_thuringiensis,Bacillus thuringiensis
agri.active_ingredient_bendioxide,bendioxide
agri.active_ingredient_benfuracarb,benfuracarb
agri.active_ingredient_benfuracarb__lambda_cyhalothrin,benfuracarb + lambda-cyhalothrin
agri.active_ingredient_benomyl,benomyl
agri.active_ingredient_benoxacor__metolachlor,benoxacor + metolachlor
agri.active_ingredient_benoxacor__s_metolachlor,benoxacor + s-metolachlor
agri.active_ingredient_bifenthrin,bifenthrin
agri.active_ingredient_brodifacoum,brodifacoum
agri.active_ingredient_bromacil,bromacil
agri.active_ingredient_bromoxynil,bromoxynil
agri.active_ingredient_bupirimate,bupirimate
agri.active_ingredient_bupirimate__hexaconazole,bupirimate + hexaconazole
agri.active_ingredient_buprofezin,buprofezin
agri.active_ingredient_cadusafos,cadusafos
agri.active_ingredient_calcium_arsenate,calcium arsenate
agri.active_ingredient_captab,captab [syn. captan]
agri.active_ingredient_carbaryl,carbaryl
agri.active_ingredient_carbaryl__metaldehyde,carbaryl + metaldehyde
agri.active_ingredient_carbendazim,carbendazim
agri.active_ingredient_carbendazim__difenoconazole,carbendazim + difenoconazole
agri.active_ingredient_carbendazim__epoxiconazole,carbendazim + epoxiconazole
agri.active_ingredient_carbendazim__flusilazole,carbendazim + flusilazole
agri.active_ingredient_carbendazim__propiconazole,carbendazim + propiconazole
agri.active_ingredient_carbofuran,carbofuran
agri.active_ingredient_carbosulfan,carbosulfan
agri.active_ingredient_carfentrazone_ethyl,carfentrazone-ethyl [syn. carfentrazone]
agri.active_ingredient_cartap_hydrochloride,cartap hydrochloride
agri.active_ingredient_chlorfenapyr,chlorfenapyr
agri.active_ingredient_chlorimuron_ethyl,chlorimuron-ethyl
agri.active_ingredient_chlormequat_chloride,chlormequat chloride
agri.active_ingredient_chlorothalonil,chlorothalonil
agri.active_ingredient_chlorpyrifos,chlorpyrifos
agri.active_ingredient_chlorpyrifos__lambda_cyhalothrin,chlorpyrifos + lambda-cyhalothrin
agri.active_ingredient_chlorthal_dimethyl,chlorthal-dimethyl
agri.active_ingredient_clethodim,clethodim
agri.active_ingredient_clethodim__haloxyfop_r_methyl_ester,clethodim + haloxyfop-R-methyl ester
agri.active_ingredient_clodinafop_propargyl,clodinafop-propargyl
agri.active_ingredient_clomazone,clomazone
agri.active_ingredient_clothianidin,clothianidin
agri.active_ingredient_copper_oxychloride,copper oxychloride
agri.active_ingredient_coumatetralyl,coumatetralyl
agri.active_ingredient_cyanamide,cyanamide
agri.active_ingredient_cymoxanil,cymoxanil
agri.active_ingredient_cymoxanil__dimethomorph__phosphorous_acid,cymoxanil + dimethomorph + phosphorous acid
agri.active_ingredient_cymoxanil__famoxadone,cymoxanil + famoxadone
agri.active_ingredient_cymoxanil__mancozeb,cymoxanil + mancozeb
agri.active_ingredient_cypermethrin,cypermethrin
agri.active_ingredient_cyprodinil,cyprodinil
agri.active_ingredient_cyprodinil__fludioxonil,cyprodinil + fludioxonil
agri.active_ingredient_cyromazine,cyromazine
agri.active_ingredient_daminozide,daminozide
agri.active_ingredient_deltamethrin,deltamethrin
agri.active_ingredient_diafenthiuron,diafenthiuron
agri.active_ingredient_dicamba,dicamba
agri.active_ingredient_dichlormid__eptc,dichlormid + EPTC
agri.active_ingredient_dichlormid__metolachlor,dichlormid + metolachlor
agri.active_ingredient_dichlorprop,dichlorprop
agri.active_ingredient_dichlorvos,dichlorvos
agri.active_ingredient_diclosulam,diclosulam
agri.active_ingredient_difenoconazole,difenoconazole
agri.active_ingredient_difenoconazole__penconazole,difenoconazole + penconazole
agri.active_ingredient_diflubenzuron,diflubenzuron
agri.active_ingredient_diflufenican,diflufenican
agri.active_ingredient_dimethoate,dimethoate
agri.active_ingredient_dimethomorph,dimethomorph
agri.active_ingredient_dimethomorph__mancozeb,dimethomorph + mancozeb
agri.active_ingredient_diquat__paraquat,diquat + paraquat
agri.active_ingredient_dithianon,dithianon
agri.active_ingredient_dithianon__pyrimethanil,dithianon + pyrimethanil
