id,name,scientific_name
agri.pest_disease_accelerated_boll_burst_earlier_harvest,Accelerated boll burst (earlier harvest),
agri.pest_disease_alternaria_spot_alternaria_citri,Alternaria spot,Alternaria citri
agri.pest_disease_alternaria_spot_alternaria_porri,Alternaria spot,Alternaria porri
agri.pest_disease_angular_leaf_spot_ascochyta_spp,Angular leaf spot,Ascochyta spp.
agri.pest_disease_antestia_bug,Antestia bug,
agri.pest_disease_antestia_bug_agrotis_spp,Antestia bug,Agrotis spp.
agri.pest_disease_antestia_bug_myzus_persicae,Antestia bug,Myzus persicae
agri.pest_disease_anthracnose_actinonema_spp,Anthracnose,Actinonema spp.
agri.pest_disease_anthracnose_alternaria_solani,Anthracnose,Alternaria solani
agri.pest_disease_anthracnose_alternaria_spp,Anthracnose,Alternaria spp.
agri.pest_disease_anthracnose_botrytis_spp,Anthracnose,Botrytis spp.
agri.pest_disease_anthracnose_cercospora_spp,Anthracnose,Cercospora spp.
agri.pest_disease_anthracnose_colletotrichum_destructivum,Anthracnose,Colletotrichum destructivum
agri.pest_disease_anthracnose_colletotrichum_graminicola,Anthracnose,Colletotrichum graminicola
agri.pest_disease_anthracnose_phytophthora_infestans,Anthracnose,Phytophthora infestans
agri.pest_disease_anthracnose_pseudocercospora_purpurea,Anthracnose,Pseudocercospora purpurea
agri.pest_disease_ants,Ants,
agri.pest_disease_ants_agrotis_spp,Ants,Agrotis spp.
agri.pest_disease_ants_alphitobius_diaperinus,Ants,Alphitobius diaperinus
agri.pest_disease_ants_argentine_ants_anoplolepis_custodiens,Ants - Argentine ants,Anoplolepis custodiens
agri.pest_disease_ants_argentine_ants_aonidiella_aurantii,Ants - Argentine ants,Aonidiella aurantii
agri.pest_disease_ants_argentine_ants_brevicoryne_brassicae,Ants - Argentine ants,Brevicoryne brassicae
agri.pest_disease_ants_argentine_ants_linepithema_humile,Ants - Argentine ants,Linepithema humile
agri.pest_disease_ants_astylus,Ants,Astylus
agri.pest_disease_ants_brown_house_ants_alphitobius_diaperinus,Ants - Brown house ants,Alphitobius diaperinus
agri.pest_disease_ants_cocktail_ants_brevicoryne_brassicae,Ants - Cocktail ants,Brevicoryne brassicae
agri.pest_disease_ants_cocktail_ants_diuraphis_noxia,Ants - Cocktail ants,Diuraphis noxia
agri.pest_disease_ants_pugnacious_ants_anoplolepis_steingroeveri,Ants - Pugnacious ants,Anoplolepis steingroeveri
agri.pest_disease_aphids,Aphids,
agri.pest_disease_aphids_achaea_spp,Aphids,Achaea spp.
agri.pest_disease_aphids_acyrthosiphon_hordium,Aphids,Acyrthosiphon hordium
agri.pest_disease_aphids_agrotis_spp,Aphids,Agrotis spp.
agri.pest_disease_aphids_aleurothrixus_floccosus,Aphids,Aleurothrixus floccosus
agri.pest_disease_aphids_all_species,Aphids,All species
agri.pest_disease_aphids_aonidiella_aurantii,Aphids,Aonidiella aurantii
agri.pest_disease_aphids_aphis_spp,Aphids,Aphis spp.
agri.pest_disease_aphids_black_citrus_aphid_cydia_pomonella,Aphids - Black citrus aphid,Cydia pomonella
