id,name,parent_id/id,is_agri,cost_type,cost_driver,uom_id/id,sale_ok,purchase_ok
agri.product_category_animal_feed_grain,Grain,agri.product_category_animal_feed,True,animal_feed,herd,uom.product_uom_kgm,,True
agri.product_category_animal_feed_lick,Lick,agri.product_category_animal_feed,True,animal_feed,herd,uom.product_uom_ton,,True
agri.product_category_crop_cotton,Cotton,agri.product_category_crop,True,crop,land,uom.product_uom_ton,True,
agri.product_category_crop_harvest_fuel,Fuel,agri.product_category_crop_harvest,True,crop_harvest,land,uom.product_uom_litre,,True
agri.product_category_crop_harvest_harvesting,Harvesting,agri.product_category_crop_harvest,True,crop_harvest,crop,uom.product_uom_ton,,True
agri.product_category_crop_harvest_labour,Labour,agri.product_category_crop_harvest,True,crop_harvest,land,agri.agri_uom_ha,,True
agri.product_category_crop_harvest_repairs_maintenance,Repairs & maintenance,agri.product_category_crop_harvest,True,crop_harvest,land,agri.agri_uom_sum,,True
agri.product_category_crop_harvest_transport,Transport,agri.product_category_crop_harvest,True,crop_harvest,crop,uom.product_uom_ton,,True
agri.product_category_crop_input_aerial_spraying,Aerial spraying,agri.product_category_crop_input,True,crop_input,land,agri.agri_uom_ha,,True
agri.product_category_crop_input_consulting,Consulting,agri.product_category_crop_input,True,crop_input,land,agri.agri_uom_sum,,True
agri.product_category_crop_input_credit_interest,Credit interest,agri.product_category_crop_input,True,crop_input,land,agri.agri_uom_sum,,True
agri.product_category_crop_input_electricity,Electricity,agri.product_category_crop_input,True,crop_input,land,agri.agri_uom_sum,,True
agri.product_category_crop_input_fertiliser,Fertiliser,agri.product_category_crop_input,True,crop_input,land,uom.product_uom_ton,,True
agri.product_category_crop_input_fuel,Fuel,agri.product_category_crop_input,True,crop_input,land,uom.product_uom_litre,,True
agri.product_category_crop_input_acaricide,Acaricide,agri.product_category_crop_input,True,crop_input,land,uom.product_uom_litre,,True
agri.product_category_crop_input_adjuvants,Adjuvants,agri.product_category_crop_input,True,crop_input,land,uom.product_uom_litre,,True
agri.product_category_crop_input_bactericide,Bactericide,agri.product_category_crop_input,True,crop_input,land,uom.product_uom_litre,,True
agri.product_category_crop_input_fungicide,Fungicide,agri.product_category_crop_input,True,crop_input,land,uom.product_uom_litre,,True
agri.product_category_crop_input_growth_regulator,Growth regulator,agri.product_category_crop_input,True,crop_input,land,uom.product_uom_litre,,True
agri.product_category_crop_input_herbicide,Herbicide,agri.product_category_crop_input,True,crop_input,land,uom.product_uom_litre,,True
agri.product_category_crop_input_insecticide,Insecticide,agri.product_category_crop_input,True,crop_input,land,uom.product_uom_litre,,True
agri.product_category_crop_input_molluscicide,Molluscicide,agri.product_category_crop_input,True,crop_input,land,uom.product_uom_litre,,True
agri.product_category_crop_input_nematicide,Nematicide,agri.product_category_crop_input,True,crop_input,land,uom.product_uom_litre,,True
agri.product_category_crop_input_rodenticide,Rodenticide,agri.product_category_crop_input,True,crop_input,land,uom.product_uom_litre,,True
agri.product_category_crop_input_hail_insurance,Hail insurance,agri.product_category_crop_input,True,crop_input,land,uom.product_uom_ton,,True
agri.product_category_crop_input_lime,Lime,agri.product_category_crop_input,True,crop_input,land,uom.product_uom_ton,,True
agri.product_category_crop_input_pollination,Pollination,agri.product_category_crop_input,True,crop_input,land,agri.agri_uom_ha,,True
agri.product_category_crop_input_repairs_maintenance,Repairs & maintenance,agri.product_category_crop_input,True,crop_input,land,agri.agri_uom_sum,,True
agri.product_category_crop_input_seasonal_labour,Seasonal labour,agri.product_category_crop_input,True,crop_input,land,agri.agri_uom_ha,,True
agri.product_category_crop_input_seed,Seed,agri.product_category_crop_input,True,crop_input,land,uom.product_uom_kgm,,True
agri.product_category_crop_input_yield_insurance,Yield insurance,agri.product_category_crop_input,True,crop_input,land,uom.product_uom_ton,,True
agri.product_category_crop_marketing_drying_cleaning,Drying & cleaning,agri.product_category_crop_marketing,True,crop_marketing,crop,uom.product_uom_ton,,True
agri.product_category_crop_marketing_grading,Grading,agri.product_category_crop_marketing,True,crop_marketing,crop,agri.agri_uom_each,,True
agri.product_category_crop_marketing_hedging,Hedging,agri.product_category_crop_marketing,True,crop_input,crop,uom.product_uom_ton,,True
agri.product_category_crop_marketing_levy,Levy,agri.product_category_crop_marketing,True,crop_marketing,crop,agri.agri_uom_each,,True
agri.product_category_crop_marketing_packaging_material,Packaging material,agri.product_category_crop_marketing,True,crop_marketing,crop,agri.agri_uom_each,,True
agri.product_category_crop_marketing_packing,Packing,agri.product_category_crop_marketing,True,crop_marketing,crop,agri.agri_uom_each,,True
agri.product_category_crop_marketing_storage,Storage,agri.product_category_crop_marketing,True,crop_marketing,crop,uom.product_uom_day,,True
agri.product_category_crop_establishment_drainage,Drainage,agri.product_category_crop_establishment,True,crop_establishment,land,agri.agri_uom_sum,,True
agri.product_category_crop_establishment_irrigation_equipment,Irrigation equipment,agri.product_category_crop_establishment,True,crop_establishment,land,agri.agri_uom_sum,,True
agri.product_category_crop_establishment_land_preparation,Land preparation,agri.product_category_crop_establishment,True,crop_establishment,land,agri.agri_uom_sum,,True
agri.product_category_crop_establishment_plant_material,Plant material,agri.product_category_crop_establishment,True,crop_establishment,land,agri.agri_uom_each,,True
agri.product_category_crop_establishment_trellising,Trellising,agri.product_category_crop_establishment,True,crop_establishment,land,agri.agri_uom_sum,,True
agri.product_category_husbandry_crutching,Crutching,agri.product_category_husbandry,True,husbandry,herd,agri.agri_uom_lsu,,True
agri.product_category_husbandry_dipping_jetting,Dipping & jetting,agri.product_category_husbandry,True,husbandry,herd,agri.agri_uom_lsu,,True
agri.product_category_husbandry_drenching_vaccination,Drenching & vaccination,agri.product_category_husbandry,True,husbandry,herd,agri.agri_uom_lsu,,True
agri.product_category_husbandry_shearing,Shearing,agri.product_category_husbandry,True,husbandry,herd,agri.agri_uom_lsu,,True
agri.product_category_husbandry_veterinary,Veterinary,agri.product_category_husbandry,True,husbandry,herd,agri.agri_uom_lsu,,True
agri.product_category_livestock_cattle_bull,Bull,agri.product_category_livestock_cattle,True,livestock,head,agri.agri_uom_cattle_bull,True,True
agri.product_category_livestock_cattle_calf,Calf,agri.product_category_livestock_cattle,True,livestock,head,agri.agri_uom_cattle_calf,True,True
agri.product_category_livestock_cattle_cow,Cow,agri.product_category_livestock_cattle,True,livestock,head,agri.agri_uom_cattle_cow,True,True
agri.product_category_livestock_cattle_cow_dairy,Cow (Dairy),agri.product_category_livestock_cattle,True,livestock,head,agri.agri_uom_cattle_cow_dairy,True,True
agri.product_category_livestock_cattle_heifer,Heifer,agri.product_category_livestock_cattle,True,livestock,head,agri.agri_uom_cattle_heifer,True,True
agri.product_category_livestock_cattle_ox,Ox,agri.product_category_livestock_cattle,True,livestock,head,agri.agri_uom_cattle_bull,True,True
agri.product_category_livestock_cattle_steer,Steer,agri.product_category_livestock_cattle,True,livestock,head,agri.agri_uom_cattle_steer,True,True
